<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USD000UTSTOM;D;06/17/16;000000;64.8500000
USD000UTSTOM;D;06/20/16;000000;64.2975000
USD000UTSTOM;D;06/21/16;000000;63.7550000
USD000UTSTOM;D;06/22/16;000000;64.8900000
USD000UTSTOM;D;06/23/16;000000;63.8500000
USD000UTSTOM;D;06/24/16;000000;65.2625000
USD000UTSTOM;D;06/27/16;000000;65.4875000
USD000UTSTOM;D;06/28/16;000000;64.1000000
USD000UTSTOM;D;06/29/16;000000;63.8500000
USD000UTSTOM;D;06/30/16;000000;63.9900000
USD000UTSTOM;D;07/01/16;000000;63.8000000
USD000UTSTOM;D;07/04/16;000000;63.9350000
USD000UTSTOM;D;07/05/16;000000;64.3175000
USD000UTSTOM;D;07/06/16;000000;64.2075000
USD000UTSTOM;D;07/07/16;000000;64.5650000
USD000UTSTOM;D;07/08/16;000000;63.9800000
USD000UTSTOM;D;07/11/16;000000;64.2000000
USD000UTSTOM;D;07/12/16;000000;63.8900000
USD000UTSTOM;D;07/13/16;000000;63.8500000
USD000UTSTOM;D;07/14/16;000000;62.8500000
USD000UTSTOM;D;07/15/16;000000;63.5100000
USD000UTSTOM;D;07/18/16;000000;62.8425000
USD000UTSTOM;D;07/19/16;000000;63.5475000
USD000UTSTOM;D;07/20/16;000000;63.7400000
USD000UTSTOM;D;07/21/16;000000;64.3700000
USD000UTSTOM;D;07/22/16;000000;64.8800000
USD000UTSTOM;D;07/25/16;000000;65.4150000
USD000UTSTOM;D;07/26/16;000000;65.9475000
USD000UTSTOM;D;07/27/16;000000;65.9275000
USD000UTSTOM;D;07/28/16;000000;66.6150000
USD000UTSTOM;D;07/29/16;000000;66.0350000
USD000UTSTOM;D;08/01/16;000000;66.8950000
USD000UTSTOM;D;08/02/16;000000;66.6475000
USD000UTSTOM;D;08/03/16;000000;66.2700000
USD000UTSTOM;D;08/04/16;000000;65.7875000
USD000UTSTOM;D;08/05/16;000000;65.5475000
USD000UTSTOM;D;08/08/16;000000;64.6150000
USD000UTSTOM;D;08/09/16;000000;64.7650000
USD000UTSTOM;D;08/10/16;000000;64.8700000
USD000UTSTOM;D;08/11/16;000000;64.3250000
USD000UTSTOM;D;08/12/16;000000;64.7500000
USD000UTSTOM;D;08/15/16;000000;64.0300000
USD000UTSTOM;D;08/16/16;000000;63.7750000
USD000UTSTOM;D;08/17/16;000000;63.8250000
USD000UTSTOM;D;08/18/16;000000;63.6500000
USD000UTSTOM;D;08/19/16;000000;63.9000000
USD000UTSTOM;D;08/22/16;000000;64.8125000
USD000UTSTOM;D;08/23/16;000000;64.6000000
USD000UTSTOM;D;08/24/16;000000;65.1700000
USD000UTSTOM;D;08/25/16;000000;64.6625000
USD000UTSTOM;D;08/26/16;000000;64.8600000
USD000UTSTOM;D;08/29/16;000000;64.7500000
USD000UTSTOM;D;08/30/16;000000;65.2500000
USD000UTSTOM;D;08/31/16;000000;65.3150000
USD000UTSTOM;D;09/01/16;000000;65.9200000
USD000UTSTOM;D;09/02/16;000000;65.0950000
USD000UTSTOM;D;09/05/16;000000;65.0800000
USD000UTSTOM;D;09/06/16;000000;64.5625000
USD000UTSTOM;D;09/07/16;000000;64.1350000
USD000UTSTOM;D;09/08/16;000000;63.9975000
USD000UTSTOM;D;09/09/16;000000;64.8200000
